startor,receptor,relation_type,fig_name,number,reftext,year,figtitle,papertitle,caption,figlink,pmcid,filename
ROCK,APICAL,activate_relation,PMC5858934__nihms949674f4.jpg,Fig. 4,"Vernadeth B. Alarcon, et al. Adv Anat Embryol Cell Biol. ;229:47-68.",,Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification,ROCK and RHO Playlist for Preimplantation Development: Streaming to HIPPO Pathway and Apicobasal Polarity in the First Cell Differentiation.,"Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification. RHO/ROCK signaling promotes the trophectoderm cell fate via two major inputs integrated by the HIPPO pathway to activate YAP. The first involves RHO/ROCK establishing the apical domain, whereas the second involves RHO/ROCK regulating the actomyosin cytoskeletal system. Both converge toward and modulate the HIPPO pathway, resulting in LATS (LATS1/2) suppression in the outside cells where unphosphorylated YAP promotes expression of trophectoderm lineage-specific genes. It is possible that RHO/ROCK and cell polarity mutually regulate each other and that RHO/ROCK also acts through actomyosin to modulate cell polarity. See text for details, sections ‚ÄúPossible Mechanisms of How RHO and ROCK Regulate TE Specification‚Äù and ‚ÄúQuestions to Be Answered‚Äù",/pmc/articles/PMC5858934/figure/F4/,PMC5858934,nihms949674f4.jpg
ROCK,BASOLATERAL,activate_relation,PMC5858934__nihms949674f4.jpg,Fig. 4,"Vernadeth B. Alarcon, et al. Adv Anat Embryol Cell Biol. ;229:47-68.",,Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification,ROCK and RHO Playlist for Preimplantation Development: Streaming to HIPPO Pathway and Apicobasal Polarity in the First Cell Differentiation.,"Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification. RHO/ROCK signaling promotes the trophectoderm cell fate via two major inputs integrated by the HIPPO pathway to activate YAP. The first involves RHO/ROCK establishing the apical domain, whereas the second involves RHO/ROCK regulating the actomyosin cytoskeletal system. Both converge toward and modulate the HIPPO pathway, resulting in LATS (LATS1/2) suppression in the outside cells where unphosphorylated YAP promotes expression of trophectoderm lineage-specific genes. It is possible that RHO/ROCK and cell polarity mutually regulate each other and that RHO/ROCK also acts through actomyosin to modulate cell polarity. See text for details, sections ‚ÄúPossible Mechanisms of How RHO and ROCK Regulate TE Specification‚Äù and ‚ÄúQuestions to Be Answered‚Äù",/pmc/articles/PMC5858934/figure/F4/,PMC5858934,nihms949674f4.jpg
APICAL,ROCK,activate_relation,PMC5858934__nihms949674f4.jpg,Fig. 4,"Vernadeth B. Alarcon, et al. Adv Anat Embryol Cell Biol. ;229:47-68.",,Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification,ROCK and RHO Playlist for Preimplantation Development: Streaming to HIPPO Pathway and Apicobasal Polarity in the First Cell Differentiation.,"Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification. RHO/ROCK signaling promotes the trophectoderm cell fate via two major inputs integrated by the HIPPO pathway to activate YAP. The first involves RHO/ROCK establishing the apical domain, whereas the second involves RHO/ROCK regulating the actomyosin cytoskeletal system. Both converge toward and modulate the HIPPO pathway, resulting in LATS (LATS1/2) suppression in the outside cells where unphosphorylated YAP promotes expression of trophectoderm lineage-specific genes. It is possible that RHO/ROCK and cell polarity mutually regulate each other and that RHO/ROCK also acts through actomyosin to modulate cell polarity. See text for details, sections ‚ÄúPossible Mechanisms of How RHO and ROCK Regulate TE Specification‚Äù and ‚ÄúQuestions to Be Answered‚Äù",/pmc/articles/PMC5858934/figure/F4/,PMC5858934,nihms949674f4.jpg
BASOLATERAL,ROCK,activate_relation,PMC5858934__nihms949674f4.jpg,Fig. 4,"Vernadeth B. Alarcon, et al. Adv Anat Embryol Cell Biol. ;229:47-68.",,Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification,ROCK and RHO Playlist for Preimplantation Development: Streaming to HIPPO Pathway and Apicobasal Polarity in the First Cell Differentiation.,"Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification. RHO/ROCK signaling promotes the trophectoderm cell fate via two major inputs integrated by the HIPPO pathway to activate YAP. The first involves RHO/ROCK establishing the apical domain, whereas the second involves RHO/ROCK regulating the actomyosin cytoskeletal system. Both converge toward and modulate the HIPPO pathway, resulting in LATS (LATS1/2) suppression in the outside cells where unphosphorylated YAP promotes expression of trophectoderm lineage-specific genes. It is possible that RHO/ROCK and cell polarity mutually regulate each other and that RHO/ROCK also acts through actomyosin to modulate cell polarity. See text for details, sections ‚ÄúPossible Mechanisms of How RHO and ROCK Regulate TE Specification‚Äù and ‚ÄúQuestions to Be Answered‚Äù",/pmc/articles/PMC5858934/figure/F4/,PMC5858934,nihms949674f4.jpg
APICAL,NF2,inhibit_relation,PMC5858934__nihms949674f4.jpg,Fig. 4,"Vernadeth B. Alarcon, et al. Adv Anat Embryol Cell Biol. ;229:47-68.",,Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification,ROCK and RHO Playlist for Preimplantation Development: Streaming to HIPPO Pathway and Apicobasal Polarity in the First Cell Differentiation.,"Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification. RHO/ROCK signaling promotes the trophectoderm cell fate via two major inputs integrated by the HIPPO pathway to activate YAP. The first involves RHO/ROCK establishing the apical domain, whereas the second involves RHO/ROCK regulating the actomyosin cytoskeletal system. Both converge toward and modulate the HIPPO pathway, resulting in LATS (LATS1/2) suppression in the outside cells where unphosphorylated YAP promotes expression of trophectoderm lineage-specific genes. It is possible that RHO/ROCK and cell polarity mutually regulate each other and that RHO/ROCK also acts through actomyosin to modulate cell polarity. See text for details, sections ‚ÄúPossible Mechanisms of How RHO and ROCK Regulate TE Specification‚Äù and ‚ÄúQuestions to Be Answered‚Äù",/pmc/articles/PMC5858934/figure/F4/,PMC5858934,nihms949674f4.jpg
ACTOMYOSIN,LATS,inhibit_relation,PMC5858934__nihms949674f4.jpg,Fig. 4,"Vernadeth B. Alarcon, et al. Adv Anat Embryol Cell Biol. ;229:47-68.",,Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification,ROCK and RHO Playlist for Preimplantation Development: Streaming to HIPPO Pathway and Apicobasal Polarity in the First Cell Differentiation.,"Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification. RHO/ROCK signaling promotes the trophectoderm cell fate via two major inputs integrated by the HIPPO pathway to activate YAP. The first involves RHO/ROCK establishing the apical domain, whereas the second involves RHO/ROCK regulating the actomyosin cytoskeletal system. Both converge toward and modulate the HIPPO pathway, resulting in LATS (LATS1/2) suppression in the outside cells where unphosphorylated YAP promotes expression of trophectoderm lineage-specific genes. It is possible that RHO/ROCK and cell polarity mutually regulate each other and that RHO/ROCK also acts through actomyosin to modulate cell polarity. See text for details, sections ‚ÄúPossible Mechanisms of How RHO and ROCK Regulate TE Specification‚Äù and ‚ÄúQuestions to Be Answered‚Äù",/pmc/articles/PMC5858934/figure/F4/,PMC5858934,nihms949674f4.jpg
 YAP,NUCLEUS,activate_relation,PMC5858934__nihms949674f4.jpg,Fig. 4,"Vernadeth B. Alarcon, et al. Adv Anat Embryol Cell Biol. ;229:47-68.",,Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification,ROCK and RHO Playlist for Preimplantation Development: Streaming to HIPPO Pathway and Apicobasal Polarity in the First Cell Differentiation.,"Model for RHO/ROCK-dependent regulation of trophectoderm-lineage specification. RHO/ROCK signaling promotes the trophectoderm cell fate via two major inputs integrated by the HIPPO pathway to activate YAP. The first involves RHO/ROCK establishing the apical domain, whereas the second involves RHO/ROCK regulating the actomyosin cytoskeletal system. Both converge toward and modulate the HIPPO pathway, resulting in LATS (LATS1/2) suppression in the outside cells where unphosphorylated YAP promotes expression of trophectoderm lineage-specific genes. It is possible that RHO/ROCK and cell polarity mutually regulate each other and that RHO/ROCK also acts through actomyosin to modulate cell polarity. See text for details, sections ‚ÄúPossible Mechanisms of How RHO and ROCK Regulate TE Specification‚Äù and ‚ÄúQuestions to Be Answered‚Äù",/pmc/articles/PMC5858934/figure/F4/,PMC5858934,nihms949674f4.jpg
"PROANGIOGENIC FACTORS (BFGF,PMA)",ERK1/2,activate_relation,PMC3137750__ECAM2011-870753.004.jpg,Figure 4,"Kazuhiro Kunimasa, et al. Evid Based Complement Alternat Med. 2011;2011:870753.",2011.0,Schematic diagram of angiogenesis suppression by EEBP,Brazilian Propolis Suppresses Angiogenesis by Inducing Apoptosis in Tube-Forming Endothelial Cells through Inactivation of Survival Signal ERK1/2.,"Schematic diagram of angiogenesis suppression by EEBP. Proangiogenic factors such as bFGF and PMA stimulate ERK1/2 signaling. Subsequently, the survival signal inactivates caspase pathway, thereby maintaining cell survival and facilitating angiogenesis. In contrast, EEBP inhibits ERK1/2 activation, thereby activating caspase pathway and inducing apoptosis, which consequently leads to angiogenesis suppression.",/pmc/articles/PMC3137750/figure/fig4/,PMC3137750,ECAM2011-870753.004.jpg
ERK1/2,CASPASE CASCADE,inhibit_relation,PMC3137750__ECAM2011-870753.004.jpg,Figure 4,"Kazuhiro Kunimasa, et al. Evid Based Complement Alternat Med. 2011;2011:870753.",2011.0,Schematic diagram of angiogenesis suppression by EEBP,Brazilian Propolis Suppresses Angiogenesis by Inducing Apoptosis in Tube-Forming Endothelial Cells through Inactivation of Survival Signal ERK1/2.,"Schematic diagram of angiogenesis suppression by EEBP. Proangiogenic factors such as bFGF and PMA stimulate ERK1/2 signaling. Subsequently, the survival signal inactivates caspase pathway, thereby maintaining cell survival and facilitating angiogenesis. In contrast, EEBP inhibits ERK1/2 activation, thereby activating caspase pathway and inducing apoptosis, which consequently leads to angiogenesis suppression.",/pmc/articles/PMC3137750/figure/fig4/,PMC3137750,ECAM2011-870753.004.jpg
EEBP,ERK1/2,inhibit_relation,PMC3137750__ECAM2011-870753.004.jpg,Figure 4,"Kazuhiro Kunimasa, et al. Evid Based Complement Alternat Med. 2011;2011:870753.",2011.0,Schematic diagram of angiogenesis suppression by EEBP,Brazilian Propolis Suppresses Angiogenesis by Inducing Apoptosis in Tube-Forming Endothelial Cells through Inactivation of Survival Signal ERK1/2.,"Schematic diagram of angiogenesis suppression by EEBP. Proangiogenic factors such as bFGF and PMA stimulate ERK1/2 signaling. Subsequently, the survival signal inactivates caspase pathway, thereby maintaining cell survival and facilitating angiogenesis. In contrast, EEBP inhibits ERK1/2 activation, thereby activating caspase pathway and inducing apoptosis, which consequently leads to angiogenesis suppression.",/pmc/articles/PMC3137750/figure/fig4/,PMC3137750,ECAM2011-870753.004.jpg
U0126,ERK1/2,inhibit_relation,PMC3137750__ECAM2011-870753.004.jpg,Figure 4,"Kazuhiro Kunimasa, et al. Evid Based Complement Alternat Med. 2011;2011:870753.",2011.0,Schematic diagram of angiogenesis suppression by EEBP,Brazilian Propolis Suppresses Angiogenesis by Inducing Apoptosis in Tube-Forming Endothelial Cells through Inactivation of Survival Signal ERK1/2.,"Schematic diagram of angiogenesis suppression by EEBP. Proangiogenic factors such as bFGF and PMA stimulate ERK1/2 signaling. Subsequently, the survival signal inactivates caspase pathway, thereby maintaining cell survival and facilitating angiogenesis. In contrast, EEBP inhibits ERK1/2 activation, thereby activating caspase pathway and inducing apoptosis, which consequently leads to angiogenesis suppression.",/pmc/articles/PMC3137750/figure/fig4/,PMC3137750,ECAM2011-870753.004.jpg
APOPTOSIS, TUBE FORMATION (ANGIOGENESIS),inhibit_relation,PMC3137750__ECAM2011-870753.004.jpg,Figure 4,"Kazuhiro Kunimasa, et al. Evid Based Complement Alternat Med. 2011;2011:870753.",2011.0,Schematic diagram of angiogenesis suppression by EEBP,Brazilian Propolis Suppresses Angiogenesis by Inducing Apoptosis in Tube-Forming Endothelial Cells through Inactivation of Survival Signal ERK1/2.,"Schematic diagram of angiogenesis suppression by EEBP. Proangiogenic factors such as bFGF and PMA stimulate ERK1/2 signaling. Subsequently, the survival signal inactivates caspase pathway, thereby maintaining cell survival and facilitating angiogenesis. In contrast, EEBP inhibits ERK1/2 activation, thereby activating caspase pathway and inducing apoptosis, which consequently leads to angiogenesis suppression.",/pmc/articles/PMC3137750/figure/fig4/,PMC3137750,ECAM2011-870753.004.jpg
CASPASE CASCADE,APOPTOSIS,activate_relation,PMC3137750__ECAM2011-870753.004.jpg,Figure 4,"Kazuhiro Kunimasa, et al. Evid Based Complement Alternat Med. 2011;2011:870753.",2011.0,Schematic diagram of angiogenesis suppression by EEBP,Brazilian Propolis Suppresses Angiogenesis by Inducing Apoptosis in Tube-Forming Endothelial Cells through Inactivation of Survival Signal ERK1/2.,"Schematic diagram of angiogenesis suppression by EEBP. Proangiogenic factors such as bFGF and PMA stimulate ERK1/2 signaling. Subsequently, the survival signal inactivates caspase pathway, thereby maintaining cell survival and facilitating angiogenesis. In contrast, EEBP inhibits ERK1/2 activation, thereby activating caspase pathway and inducing apoptosis, which consequently leads to angiogenesis suppression.",/pmc/articles/PMC3137750/figure/fig4/,PMC3137750,ECAM2011-870753.004.jpg
Gln,Glu,activate_relation,PMC5632346__11010_2017_3069_Fig7_HTML.jpg,Fig. 7,"Lukasz Szoka, et al. Mol Cell Biochem. 2017;435(1):197-206.",2017.0,Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression,Exogenous proline stimulates type I collagen and HIF-1Œ± expression and the process is attenuated by glutamine in human skin fibroblasts.,"Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression. Glutamine contained in culture medium is converted in the cells into glutamate and further in mitochondria into Œ±-ketoglutarate, intermediate of tricarboxylic acid cycle. Glutamate is also a source of proline required for collagen biosynthesis. This pathway of proline supply is sufficient to maintain high collagen biosynthesis rate. An addition of exogenous proline results in slight increase in collagen production. Glutamine deprivation from culture medium contributes to decrease in cellular proline content resulting in down-regulation of collagen biosynthesis. In such a condition, exogenous proline restores intracellular proline pool, providing substrate for collagen biosynthesis. The conversion of proline into glutamate is not significant due to low expression of proline oxidase (POX) in fibroblasts. This hypothesis is supported by proline-dependent regulation of HIF-1Œ± transcriptional activity. Translocation of HIF-1Œ± to nucleus is more pronounced in the absence of glutamine since Œ±-ketoglutarate induces HIF-1Œ± hydroxylation and ubiquitin dependent degradation. Therefore, in the absence of glutamine, Œ±-ketoglutarate production is impaired, contributing to upregulation of HIF-1Œ± transcriptional activity. In contrast, in the presence of glutamine, proline-induced HIF-1Œ± transcriptional activity is attenuated. Pro proline; POX proline oxidase; Gln glutamine; Glu glutamate; HIF-1Œ± hypoxia inducible factor-1Œ±; Œ±KG Œ±-ketoglutarate; TCA tricarboxylic acid cycle",/pmc/articles/PMC5632346/figure/Fig7/,PMC5632346,11010_2017_3069_Fig7_HTML.jpg
Gln,Gln,activate_relation,PMC5632346__11010_2017_3069_Fig7_HTML.jpg,Fig. 7,"Lukasz Szoka, et al. Mol Cell Biochem. 2017;435(1):197-206.",2017.0,Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression,Exogenous proline stimulates type I collagen and HIF-1Œ± expression and the process is attenuated by glutamine in human skin fibroblasts.,"Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression. Glutamine contained in culture medium is converted in the cells into glutamate and further in mitochondria into Œ±-ketoglutarate, intermediate of tricarboxylic acid cycle. Glutamate is also a source of proline required for collagen biosynthesis. This pathway of proline supply is sufficient to maintain high collagen biosynthesis rate. An addition of exogenous proline results in slight increase in collagen production. Glutamine deprivation from culture medium contributes to decrease in cellular proline content resulting in down-regulation of collagen biosynthesis. In such a condition, exogenous proline restores intracellular proline pool, providing substrate for collagen biosynthesis. The conversion of proline into glutamate is not significant due to low expression of proline oxidase (POX) in fibroblasts. This hypothesis is supported by proline-dependent regulation of HIF-1Œ± transcriptional activity. Translocation of HIF-1Œ± to nucleus is more pronounced in the absence of glutamine since Œ±-ketoglutarate induces HIF-1Œ± hydroxylation and ubiquitin dependent degradation. Therefore, in the absence of glutamine, Œ±-ketoglutarate production is impaired, contributing to upregulation of HIF-1Œ± transcriptional activity. In contrast, in the presence of glutamine, proline-induced HIF-1Œ± transcriptional activity is attenuated. Pro proline; POX proline oxidase; Gln glutamine; Glu glutamate; HIF-1Œ± hypoxia inducible factor-1Œ±; Œ±KG Œ±-ketoglutarate; TCA tricarboxylic acid cycle",/pmc/articles/PMC5632346/figure/Fig7/,PMC5632346,11010_2017_3069_Fig7_HTML.jpg
Glu,alphaKG,activate_relation,PMC5632346__11010_2017_3069_Fig7_HTML.jpg,Fig. 7,"Lukasz Szoka, et al. Mol Cell Biochem. 2017;435(1):197-206.",2017.0,Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression,Exogenous proline stimulates type I collagen and HIF-1Œ± expression and the process is attenuated by glutamine in human skin fibroblasts.,"Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression. Glutamine contained in culture medium is converted in the cells into glutamate and further in mitochondria into Œ±-ketoglutarate, intermediate of tricarboxylic acid cycle. Glutamate is also a source of proline required for collagen biosynthesis. This pathway of proline supply is sufficient to maintain high collagen biosynthesis rate. An addition of exogenous proline results in slight increase in collagen production. Glutamine deprivation from culture medium contributes to decrease in cellular proline content resulting in down-regulation of collagen biosynthesis. In such a condition, exogenous proline restores intracellular proline pool, providing substrate for collagen biosynthesis. The conversion of proline into glutamate is not significant due to low expression of proline oxidase (POX) in fibroblasts. This hypothesis is supported by proline-dependent regulation of HIF-1Œ± transcriptional activity. Translocation of HIF-1Œ± to nucleus is more pronounced in the absence of glutamine since Œ±-ketoglutarate induces HIF-1Œ± hydroxylation and ubiquitin dependent degradation. Therefore, in the absence of glutamine, Œ±-ketoglutarate production is impaired, contributing to upregulation of HIF-1Œ± transcriptional activity. In contrast, in the presence of glutamine, proline-induced HIF-1Œ± transcriptional activity is attenuated. Pro proline; POX proline oxidase; Gln glutamine; Glu glutamate; HIF-1Œ± hypoxia inducible factor-1Œ±; Œ±KG Œ±-ketoglutarate; TCA tricarboxylic acid cycle",/pmc/articles/PMC5632346/figure/Fig7/,PMC5632346,11010_2017_3069_Fig7_HTML.jpg
Glu,Pro,activate_relation,PMC5632346__11010_2017_3069_Fig7_HTML.jpg,Fig. 7,"Lukasz Szoka, et al. Mol Cell Biochem. 2017;435(1):197-206.",2017.0,Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression,Exogenous proline stimulates type I collagen and HIF-1Œ± expression and the process is attenuated by glutamine in human skin fibroblasts.,"Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression. Glutamine contained in culture medium is converted in the cells into glutamate and further in mitochondria into Œ±-ketoglutarate, intermediate of tricarboxylic acid cycle. Glutamate is also a source of proline required for collagen biosynthesis. This pathway of proline supply is sufficient to maintain high collagen biosynthesis rate. An addition of exogenous proline results in slight increase in collagen production. Glutamine deprivation from culture medium contributes to decrease in cellular proline content resulting in down-regulation of collagen biosynthesis. In such a condition, exogenous proline restores intracellular proline pool, providing substrate for collagen biosynthesis. The conversion of proline into glutamate is not significant due to low expression of proline oxidase (POX) in fibroblasts. This hypothesis is supported by proline-dependent regulation of HIF-1Œ± transcriptional activity. Translocation of HIF-1Œ± to nucleus is more pronounced in the absence of glutamine since Œ±-ketoglutarate induces HIF-1Œ± hydroxylation and ubiquitin dependent degradation. Therefore, in the absence of glutamine, Œ±-ketoglutarate production is impaired, contributing to upregulation of HIF-1Œ± transcriptional activity. In contrast, in the presence of glutamine, proline-induced HIF-1Œ± transcriptional activity is attenuated. Pro proline; POX proline oxidase; Gln glutamine; Glu glutamate; HIF-1Œ± hypoxia inducible factor-1Œ±; Œ±KG Œ±-ketoglutarate; TCA tricarboxylic acid cycle",/pmc/articles/PMC5632346/figure/Fig7/,PMC5632346,11010_2017_3069_Fig7_HTML.jpg
Pro,Glu,activate_relation,PMC5632346__11010_2017_3069_Fig7_HTML.jpg,Fig. 7,"Lukasz Szoka, et al. Mol Cell Biochem. 2017;435(1):197-206.",2017.0,Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression,Exogenous proline stimulates type I collagen and HIF-1Œ± expression and the process is attenuated by glutamine in human skin fibroblasts.,"Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression. Glutamine contained in culture medium is converted in the cells into glutamate and further in mitochondria into Œ±-ketoglutarate, intermediate of tricarboxylic acid cycle. Glutamate is also a source of proline required for collagen biosynthesis. This pathway of proline supply is sufficient to maintain high collagen biosynthesis rate. An addition of exogenous proline results in slight increase in collagen production. Glutamine deprivation from culture medium contributes to decrease in cellular proline content resulting in down-regulation of collagen biosynthesis. In such a condition, exogenous proline restores intracellular proline pool, providing substrate for collagen biosynthesis. The conversion of proline into glutamate is not significant due to low expression of proline oxidase (POX) in fibroblasts. This hypothesis is supported by proline-dependent regulation of HIF-1Œ± transcriptional activity. Translocation of HIF-1Œ± to nucleus is more pronounced in the absence of glutamine since Œ±-ketoglutarate induces HIF-1Œ± hydroxylation and ubiquitin dependent degradation. Therefore, in the absence of glutamine, Œ±-ketoglutarate production is impaired, contributing to upregulation of HIF-1Œ± transcriptional activity. In contrast, in the presence of glutamine, proline-induced HIF-1Œ± transcriptional activity is attenuated. Pro proline; POX proline oxidase; Gln glutamine; Glu glutamate; HIF-1Œ± hypoxia inducible factor-1Œ±; Œ±KG Œ±-ketoglutarate; TCA tricarboxylic acid cycle",/pmc/articles/PMC5632346/figure/Fig7/,PMC5632346,11010_2017_3069_Fig7_HTML.jpg
alphaKG,TCA,activate_relation,PMC5632346__11010_2017_3069_Fig7_HTML.jpg,Fig. 7,"Lukasz Szoka, et al. Mol Cell Biochem. 2017;435(1):197-206.",2017.0,Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression,Exogenous proline stimulates type I collagen and HIF-1Œ± expression and the process is attenuated by glutamine in human skin fibroblasts.,"Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression. Glutamine contained in culture medium is converted in the cells into glutamate and further in mitochondria into Œ±-ketoglutarate, intermediate of tricarboxylic acid cycle. Glutamate is also a source of proline required for collagen biosynthesis. This pathway of proline supply is sufficient to maintain high collagen biosynthesis rate. An addition of exogenous proline results in slight increase in collagen production. Glutamine deprivation from culture medium contributes to decrease in cellular proline content resulting in down-regulation of collagen biosynthesis. In such a condition, exogenous proline restores intracellular proline pool, providing substrate for collagen biosynthesis. The conversion of proline into glutamate is not significant due to low expression of proline oxidase (POX) in fibroblasts. This hypothesis is supported by proline-dependent regulation of HIF-1Œ± transcriptional activity. Translocation of HIF-1Œ± to nucleus is more pronounced in the absence of glutamine since Œ±-ketoglutarate induces HIF-1Œ± hydroxylation and ubiquitin dependent degradation. Therefore, in the absence of glutamine, Œ±-ketoglutarate production is impaired, contributing to upregulation of HIF-1Œ± transcriptional activity. In contrast, in the presence of glutamine, proline-induced HIF-1Œ± transcriptional activity is attenuated. Pro proline; POX proline oxidase; Gln glutamine; Glu glutamate; HIF-1Œ± hypoxia inducible factor-1Œ±; Œ±KG Œ±-ketoglutarate; TCA tricarboxylic acid cycle",/pmc/articles/PMC5632346/figure/Fig7/,PMC5632346,11010_2017_3069_Fig7_HTML.jpg
TCA,TCA,activate_relation,PMC5632346__11010_2017_3069_Fig7_HTML.jpg,Fig. 7,"Lukasz Szoka, et al. Mol Cell Biochem. 2017;435(1):197-206.",2017.0,Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression,Exogenous proline stimulates type I collagen and HIF-1Œ± expression and the process is attenuated by glutamine in human skin fibroblasts.,"Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression. Glutamine contained in culture medium is converted in the cells into glutamate and further in mitochondria into Œ±-ketoglutarate, intermediate of tricarboxylic acid cycle. Glutamate is also a source of proline required for collagen biosynthesis. This pathway of proline supply is sufficient to maintain high collagen biosynthesis rate. An addition of exogenous proline results in slight increase in collagen production. Glutamine deprivation from culture medium contributes to decrease in cellular proline content resulting in down-regulation of collagen biosynthesis. In such a condition, exogenous proline restores intracellular proline pool, providing substrate for collagen biosynthesis. The conversion of proline into glutamate is not significant due to low expression of proline oxidase (POX) in fibroblasts. This hypothesis is supported by proline-dependent regulation of HIF-1Œ± transcriptional activity. Translocation of HIF-1Œ± to nucleus is more pronounced in the absence of glutamine since Œ±-ketoglutarate induces HIF-1Œ± hydroxylation and ubiquitin dependent degradation. Therefore, in the absence of glutamine, Œ±-ketoglutarate production is impaired, contributing to upregulation of HIF-1Œ± transcriptional activity. In contrast, in the presence of glutamine, proline-induced HIF-1Œ± transcriptional activity is attenuated. Pro proline; POX proline oxidase; Gln glutamine; Glu glutamate; HIF-1Œ± hypoxia inducible factor-1Œ±; Œ±KG Œ±-ketoglutarate; TCA tricarboxylic acid cycle",/pmc/articles/PMC5632346/figure/Fig7/,PMC5632346,11010_2017_3069_Fig7_HTML.jpg
alphaKG,HIF-1alpha degradation,activate_relation,PMC5632346__11010_2017_3069_Fig7_HTML.jpg,Fig. 7,"Lukasz Szoka, et al. Mol Cell Biochem. 2017;435(1):197-206.",2017.0,Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression,Exogenous proline stimulates type I collagen and HIF-1Œ± expression and the process is attenuated by glutamine in human skin fibroblasts.,"Hypothetical mechanism for the role of exogenous proline in stimulation of type I collagen and HIF-1Œ± expression. Glutamine contained in culture medium is converted in the cells into glutamate and further in mitochondria into Œ±-ketoglutarate, intermediate of tricarboxylic acid cycle. Glutamate is also a source of proline required for collagen biosynthesis. This pathway of proline supply is sufficient to maintain high collagen biosynthesis rate. An addition of exogenous proline results in slight increase in collagen production. Glutamine deprivation from culture medium contributes to decrease in cellular proline content resulting in down-regulation of collagen biosynthesis. In such a condition, exogenous proline restores intracellular proline pool, providing substrate for collagen biosynthesis. The conversion of proline into glutamate is not significant due to low expression of proline oxidase (POX) in fibroblasts. This hypothesis is supported by proline-dependent regulation of HIF-1Œ± transcriptional activity. Translocation of HIF-1Œ± to nucleus is more pronounced in the absence of glutamine since Œ±-ketoglutarate induces HIF-1Œ± hydroxylation and ubiquitin dependent degradation. Therefore, in the absence of glutamine, Œ±-ketoglutarate production is impaired, contributing to upregulation of HIF-1Œ± transcriptional activity. In contrast, in the presence of glutamine, proline-induced HIF-1Œ± transcriptional activity is attenuated. Pro proline; POX proline oxidase; Gln glutamine; Glu glutamate; HIF-1Œ± hypoxia inducible factor-1Œ±; Œ±KG Œ±-ketoglutarate; TCA tricarboxylic acid cycle",/pmc/articles/PMC5632346/figure/Fig7/,PMC5632346,11010_2017_3069_Fig7_HTML.jpg
